Instruction,Assembly,Format Type,Function Type,Function Definition,Encoding:[31-26],[25-21],[20-16],[15-11],[10-6],[5-0],Stages:Fetch,Decode,Excute,Memory,Write Back,Notes
slti,"SLTI rt, rs, immediate",I,conditional,R[rt]<=(R[rs]<sign_extend(immediate))(compare as signed integers),001010,rs,rt,immediate,,,,reg1=R[rs],alu_b = sign_extend(imm),N/A,R[rt]=alu_r,
sltiu,"SLTIU rt, rs, immediate",I,conditional,R[rt]<=(R[rs]<sign_extend(immediate))(compare as unsigned integers),001011,rs,rt,immediate,,,,reg1=R[rs],alu_b = sign_extend(imm),N/A,R[rt]=alu_r,
andi,"ANDI rt, rs, immediate",I,logical,R[rt]<=R[rs] and zero_extend(immediate),001100,rs,rt,immediate,,,,reg1=R[rs],alu_b = zero_extend(imm),N/A,R[rt]=alu_r,
ori,"ORI rt, rs, immediate",I,logical,R[rt]<=R[rs] or zero_extend(immediate),001101,rs,rt,immediate,,,,reg1=R[rs],alu_b = zero_extend(imm),N/A,R[rt]=alu_r,
xori,"XORI rt, rs, immediate",I,logical,R[rt]<=R[rs] xori zero_extend(immediate),001110,rs,rt,immediate,,,,reg1=R[rs],alu_b = zero_extend(imm),N/A,R[rt]=alu_r,
lui,"LUI rt, immediate",I,arithmetic,R[rt]<=(immediate<<16),001111,00000,rt,immediate,,,,N/A,alu_a = 16,N/A,R[rt]=alu_r,
lb,"LB rt, offset(base)",I,transfer,R[rt]<=sign_extend(mem8[R[base]+sign_extend(offset)]),100000,base,rt,offset,,,,reg1=R[base],alu_b = sign_extend(offset),read_mem,R[rt]=mem_out,Address Error and more.
lw,"LW rt, offset(base)",I,transfer,R[rt]<=mem[R[base]+sign_extend(offset)],100011,base,rt,offset,,,,reg1=R[base],alu_b = sign_extend(offset),read_mem,R[rt]=mem_out,Address Error and more.
lbu,"SW rt, offset(base)",I,transfer,R[rt]<=zero_extend(mem8[R[base]+sign_extend(offset)]),100100,base,rt,offset,,,,reg1=R[base],alu_b = sign_extend(offset),read_mem,R[rt]=mem_out,Address Error and more.
sb,"LBU rt, offset(base)",I,transfer,mem8[R[base]+sign_extend(offset)] <= R[rt],101000,base,rt,offset,,,,reg1=R[base],alu_b = sign_extend(offset),write_mem,N/A,Address Error and more.
sw,"SB rt, offset(base)",I,transfer,mem[R[base]+sign_extend(offset)]<=R[rt],101011,base,rt,offset,,,,reg1=R[base],alu_b = sign_extend(offset),write_mem,N/A,Address Error and more.
